Município,UF,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Ano,ARRECADAÇÃO,Arrecadação
AIMORES,MG,3385370.96,3155312.65,5784888.26,4720263.72,6955090.84,6023205.13,9876070.29,14751482.76,14635377.82,15976515.86,17029606.54,17274530.98,17714138.89,2017,,
AIQUARA,BA,28538.71,29201.91,44611.65,42389.55,56674.16,66959.95,71282.65,117354.84,117390.03,168700.46,221119.27,172820.93,299659.28,2017,,
AIUABA,CE,60915.56,87412.73,94254.79,138973.01,113222.27,241882.91,350430.78,560685.53,796188.35,865144.11,1330483.23,987090.38,696249.02,2017,,
AIURUOCA,MG,530861.39,458253.93,447012.46,467347.06,440892.01,665105.18,727212.93,1228292.46,1342369.29,1789234.48,2024009.37,2396609.49,2777677.03,2017,,
AJURICABA,RS,1171082.98,1025555.9,1336312.17,1685908.14,1589029.66,1855726.51,2257469.25,3834309.92,5123812.63,5265277.08,6030067.12,5872677.79,6689865.95,2017,,
ALAGOA,MG,73231.47,76431.09,86286.98,89188.03,72527.71,84525.63,114251.81,282327.57,330667.77,448175.39,561674.01,610050.51,656043.5,2017,,
ALAGOA GRANDE,PB,363495.43,659958.85,559214.44,697193.68,821654.3,1066013.49,1379971.25,2412426.82,2341625.03,2905897.97,3290843.38,3471041.53,3892112.0,2017,,
ALAGOA NOVA,PB,266160.05,267584.95,338831.1,328230.51,605797.5,599366.61,567641.38,1007157.09,1434060.76,1621451.69,1420968.94,1459602.72,1606441.2,2017,,
ALAGOINHA,PB,333366.84,324948.33,267052.21,227854.29,191552.87,246523.07,328809.07,757211.5,796406.59,1010152.58,1119138.98,1243754.76,1283476.08,2017,,
ALAGOINHA,PE,43954.91,47755.9,69666.79,100058.1,85572.65,103678.04,206864.64,401135.25,539127.35,586169.27,602060.2,559373.67,842535.09,2017,,
ALAGOINHA DO PIAUI,PI,48040.49,49271.43,57474.6,73467.07,46921.11,68489.52,81655.3,147334.0,193968.17,259590.37,270426.63,261433.68,304506.3,2017,,
ALAGOINHAS,BA,163141597.08,190962260.56,205266366.14,174184636.99,174115327.88,97068606.36,127281128.08,160294865.71,202728736.38,225323483.68,210539590.45,313075738.89,407815630.36,2017,,
ALAMBARI,SP,364605.55,283453.25,314415.95,413845.59,417729.86,701081.59,990714.65,1948693.49,2409966.45,2909803.29,2757609.07,2897929.55,3130879.82,2017,,
ALBERTINA,MG,110621.01,120048.47,123338.9,185817.98,173374.49,205529.35,204469.23,388115.33,347156.88,341873.78,516962.72,410326.05,459300.53,2017,,
ALCANTARA,MA,34660.68,61846.36,64628.05,167462.05,117184.99,168815.0,198955.2,839670.85,1082356.78,952193.28,632931.19,759238.35,2270849.9,2017,,
ALCANTARAS,CE,77477.66,85832.7,133654.22,108644.04,90968.72,107630.26,111820.37,231041.95,466843.14,591156.63,811015.99,556538.34,516449.0,2017,,
ALCANTIL,PB,19688.01,13462.62,20609.75,31500.9,28658.89,33697.6,31257.19,50893.16,67862.4,105094.1,124602.9,145710.02,269207.27,2017,,
ALCINOPOLIS,MS,119786.85,196027.91,195490.34,981081.96,768128.89,1087792.37,1668235.39,1408826.14,1813217.7,2091463.6,2371275.64,2777692.13,2692508.23,2017,,
